GO,Line,Requirement
1,101,2
1,102,1
1,103,2
1,104,1
1,105,2
1,106,1
1,107,2
1,108,1
2,201,2
2,202,1
2,203,2
2,204,1
2,205,2
2,206,1
3,301,2
3,302,1
3,303,2
3,304,1
3,305,2
3,306,1
3,307,2
3,308,1
4,401,2
4,402,1
4,403,2
4,404,1
4,405,2
4,406,1
5,501,2
5,502,1
5,503,2
5,504,1
5,505,2
5,506,1
5,507,2
5,508,1
6,601,2
6,602,1
6,603,2
6,604,1
6,605,2
6,606,1
7,701,2
7,702,1
7,703,2
7,704,1
7,705,2
7,706,1
7,707,2
7,708,1
8,801,2
8,802,1
8,803,2
8,804,1
8,805,2
8,806,1
9,901,2
9,902,1
9,903,2
9,904,1
9,905,2
9,906,1
9,907,2
9,908,1
